time	I(L1)	I(L2)
0.000000000000000e+00	4.744856e+00	1.576745e+00
1.220703125000000e-02	4.972031e+00	1.760601e+00
2.441406250000001e-02	5.177420e+00	1.929852e+00
3.662109375000001e-02	5.361025e+00	2.084499e+00
4.882812500000001e-02	5.522845e+00	2.224541e+00
6.103515625000001e-02	5.662881e+00	2.349979e+00
7.324218750000003e-02	5.781131e+00	2.460811e+00
8.544921875000000e-02	5.877597e+00	2.557039e+00
1.035853794642857e-01	6.002528e+00	2.677867e+00
1.217215401785714e-01	6.112896e+00	2.784909e+00
1.398577008928572e-01	6.208701e+00	2.878166e+00
1.579938616071428e-01	6.289943e+00	2.957639e+00
1.761300223214286e-01	6.356622e+00	3.023327e+00
1.942661830357143e-01	6.408738e+00	3.075230e+00
2.124023437500000e-01	6.446290e+00	3.113348e+00
2.444893973214285e-01	6.499260e+00	3.166208e+00
2.765764508928572e-01	6.543935e+00	3.210796e+00
3.086635044642858e-01	6.580314e+00	3.247112e+00
3.407505580357143e-01	6.608399e+00	3.275157e+00
3.728376116071429e-01	6.628188e+00	3.294930e+00
4.049246651785715e-01	6.639682e+00	3.306431e+00
4.370117187500000e-01	6.642882e+00	3.309660e+00
5.869838169642858e-01	6.652685e+00	3.319463e+00
7.369559151785715e-01	6.660327e+00	3.327104e+00
8.869280133928572e-01	6.665807e+00	3.332584e+00
1.036900111607143e+00	6.669125e+00	3.335903e+00
1.186872209821429e+00	6.670282e+00	3.337059e+00
1.336844308035714e+00	6.669277e+00	3.336055e+00
1.486816406250000e+00	6.666111e+00	3.332888e+00
4.900000000000000e+00	6.666111e+00	3.332889e+00
